Date,Tweet_Count,Avg_Sentiment_Score,Positive_Count,Negative_Count,Neutral_Count,Positive_Ratio,Negative_Ratio
2022-04-24,73,0.0,0,0,73,0.0,0.0
2022-04-25,156,0.0,0,0,156,0.0,0.0
2022-04-26,217,0.0,0,0,217,0.0,0.0
2022-04-27,123,0.0,0,0,123,0.0,0.0
2022-04-28,138,0.0,0,0,138,0.0,0.0
2022-04-29,218,0.0,0,0,218,0.0,0.0
2022-04-30,62,0.0,0,0,62,0.0,0.0
2022-05-01,66,0.0,0,0,66,0.0,0.0
2022-05-02,103,0.0,0,0,103,0.0,0.0
2022-05-03,71,0.0,0,0,71,0.0,0.0
2022-05-04,94,0.0,0,0,94,0.0,0.0
2022-05-05,99,0.0,0,0,99,0.0,0.0
2022-05-06,124,0.0,0,0,124,0.0,0.0
2022-05-07,48,0.0,0,0,48,0.0,0.0
2022-05-08,67,0.0,0,0,67,0.0,0.0
2022-05-09,125,0.0,0,0,125,0.0,0.0
2022-05-10,146,0.0,0,0,146,0.0,0.0
2022-05-11,137,0.0,0,0,137,0.0,0.0
2022-05-12,137,0.0,0,0,137,0.0,0.0
2022-05-13,111,0.0,0,0,111,0.0,0.0
2022-05-14,64,0.0,0,0,64,0.0,0.0
2022-05-15,56,0.0,0,0,56,0.0,0.0
2022-05-16,112,0.0,0,0,112,0.0,0.0
2022-05-17,85,0.0,0,0,85,0.0,0.0
2022-05-18,131,0.0,0,0,131,0.0,0.0
2022-05-19,142,0.0,0,0,142,0.0,0.0
2022-05-20,242,0.0,0,0,242,0.0,0.0
2022-05-21,208,0.0,0,0,208,0.0,0.0
2022-05-22,71,0.0,0,0,71,0.0,0.0
2022-05-23,138,0.0,0,0,138,0.0,0.0
2022-05-24,142,0.0,0,0,142,0.0,0.0
2022-05-25,128,0.0,0,0,128,0.0,0.0
2022-05-26,86,0.0,0,0,86,0.0,0.0
2022-05-27,98,0.0,0,0,98,0.0,0.0
2022-05-28,71,0.0,0,0,71,0.0,0.0
2022-05-29,47,0.0,0,0,47,0.0,0.0
2022-05-30,53,0.0,0,0,53,0.0,0.0
2022-05-31,69,0.0,0,0,69,0.0,0.0
2022-06-01,92,0.0,0,0,92,0.0,0.0
2022-06-02,125,0.0,0,0,125,0.0,0.0
2022-06-03,202,0.0,0,0,202,0.0,0.0
2022-06-04,57,0.0,0,0,57,0.0,0.0
2022-06-05,70,0.0,0,0,70,0.0,0.0
2022-06-06,80,0.0,0,0,80,0.0,0.0
2022-06-07,79,0.0,0,0,79,0.0,0.0
2022-06-08,85,0.0,0,0,85,0.0,0.0
