Date,Tweet_Count,Avg_Sentiment_Score,Positive_Count,Negative_Count,Neutral_Count,Positive_Ratio,Negative_Ratio
2021-12-30,123,0.13008130081300814,40,24,59,0.3252032520325203,0.1951219512195122
2021-12-31,128,0.2265625,50,21,57,0.390625,0.1640625
2022-01-01,69,0.2898550724637681,28,8,33,0.4057971014492754,0.11594202898550725
2022-01-02,199,0.47738693467336685,113,18,68,0.5678391959798995,0.09045226130653267
2022-01-03,307,0.38436482084690554,156,38,113,0.50814332247557,0.1237785016286645
2022-01-04,140,0.2785714285714286,60,21,59,0.42857142857142855,0.15
2022-01-05,154,0.16233766233766234,68,43,43,0.44155844155844154,0.2792207792207792
2022-01-06,117,0.37606837606837606,59,15,43,0.5042735042735043,0.1282051282051282
2022-01-07,135,0.2740740740740741,58,21,56,0.42962962962962964,0.15555555555555556
2022-01-08,79,0.21518987341772153,28,11,40,0.35443037974683544,0.13924050632911392
2022-01-09,56,0.30357142857142855,23,6,27,0.4107142857142857,0.10714285714285714
2022-01-10,150,0.4066666666666667,85,24,41,0.5666666666666667,0.16
2022-01-11,109,0.3577981651376147,54,15,40,0.4954128440366973,0.13761467889908258
2022-01-12,147,0.25170068027210885,64,27,56,0.43537414965986393,0.1836734693877551
2022-01-13,156,0.1282051282051282,47,27,82,0.30128205128205127,0.17307692307692307
2022-01-14,163,0.3987730061349693,83,18,62,0.50920245398773,0.11042944785276074
2022-01-15,75,0.2,28,13,34,0.37333333333333335,0.17333333333333334
2022-01-16,104,0.0,34,34,36,0.3269230769230769,0.3269230769230769
2022-01-17,72,0.19444444444444445,27,13,32,0.375,0.18055555555555555
2022-01-18,99,0.25252525252525254,47,22,30,0.47474747474747475,0.2222222222222222
2022-01-19,101,0.24752475247524752,42,17,42,0.4158415841584158,0.16831683168316833
2022-01-20,104,0.375,53,14,37,0.5096153846153846,0.1346153846153846
2022-01-21,159,0.0880503144654088,56,42,61,0.3522012578616352,0.2641509433962264
2022-01-22,75,0.3466666666666667,35,9,31,0.4666666666666667,0.12
2022-01-23,61,0.14754098360655737,15,6,40,0.2459016393442623,0.09836065573770492
2022-01-24,164,0.32926829268292684,79,25,60,0.4817073170731707,0.1524390243902439
2022-01-25,157,0.1464968152866242,50,27,80,0.3184713375796178,0.17197452229299362
2022-01-26,314,0.31528662420382164,148,49,117,0.4713375796178344,0.15605095541401273
2022-01-27,263,0.09125475285171103,96,72,95,0.3650190114068441,0.2737642585551331
2022-01-28,187,0.24598930481283424,79,33,75,0.42245989304812837,0.17647058823529413
2022-01-29,88,0.25,42,20,26,0.4772727272727273,0.22727272727272727
2022-01-30,76,0.32,33,9,33,0.4342105263157895,0.11842105263157894
2022-01-31,131,0.3816793893129771,61,11,59,0.46564885496183206,0.08396946564885496
